"msg_code","vendor_msg_class","vendor_text_msg","vendor_text_msg_description","vendor_severity"
"3000","Radius-Accounting","RADIUS Accounting start request","RADIUS Accounting start request.","Notice"
"3001","Radius-Accounting","RADIUS Accounting stop request","RADIUS Accounting stop request.","Notice"
"3002","Radius-Accounting","RADIUS Accounting watchdog update","RADIUS Accounting watchdog update.","Notice"
"3003","Radius-Accounting","RADIUS Accounting is on","RADIUS Accounting is on.","Notice"
"3004","Radius-Accounting","RADIUS Accounting is off","RADIUS Accounting is off.","Notice"
"3005","Radius-Accounting","RADIUS Accounting tunnel start request","RADIUS Accounting tunnel start request.","Notice"
"3006","Radius-Accounting","RADIUS Accounting tunnel stop request","RADIUS Accounting tunnel stop request.","Notice"
"3007","Radius-Accounting","RADIUS Accounting tunnel rejected","RADIUS Accounting tunnel rejected","Notice"
"3008","Radius-Accounting","RADIUS Accounting tunnel link start","RADIUS Accounting tunnel link start.","Notice"
"3009","Radius-Accounting","RADIUS Accounting tunnel link stop","RADIUS Accounting tunnel link stop.","Notice"
"3010","Radius-Accounting","RADIUS Accounting tunnel link rejected","RADIUS Accounting tunnel link rejected.","Notice"
"3300","Tacacs-Accounting","TACACS+ Accounting with Command","",""
"3301","Tacacs-Accounting","TACACS+ Accounting START","",""
"3302","Tacacs-Accounting","TACACS+ Accounting STOP","",""
"3303","Tacacs-Accounting","TACACS+ Accounting WATCHDOG","",""
"3304","Tacacs-Accounting","TACACS+ Accounting request rejected","",""
"5200","Passed-Authentication","Authentication succeeded","User authentication ended successfully.","Notice"
"5201","Passed-Authentication","Authentication succeeded","User authentication ended successfully.","Notice"
"5202","Device-Administration","Command Authorization succeeded","The requested Command Authorization passed.","Notice"
"5203","Device-Administration","Session Authorization succeeded","The requested Session Authorization passed.","Notice"
"5204","Passed-Authentication","Change password succeeded","User change password ended successfully.","Notice"
"5205","Dynamic-Authorization","Dynamic Authorization succeeded","Dynamic Authorization succeeded.","Notice"
"5206","Passed-Authentication","PAC provisioned","Access rejected after successful in-band PAC provisioning.","Notice"
"5231","Guest","Guest Authentication Passed","Guest Authentication Passed.","Notice"
"5232","Passed-Authentication","DACL Download Succeeded","DACL Download Succeeded.","Notice"
"5233","Passed-Authentication","SGA Data Download Succeeded","SGA Data Download Succeeded.","Notice"
"5234","Passed-Authentication","SGA Peer Policy Download Succeeded","SGA Peer Policy Download Succeeded.","Notice"
"5236","Passed-Authentication","Authorize-Only succeeded","Authorize-Only ended successfully.","Notice"
"5237","Guest","Device Registration Web Authentication Passed","Device Registration Web Authentication passed.","Notice"
"5400","Failed-Attempt","Authentication failed","User authentication failed. See FailureReason for more information.","Notice"
"5401","Failed-Attempt","Authentication failed","User authentication failed. See FailureReason for more information.","Notice"
"5402","Failed-Attempt","Command Authorization failed","Command Authorization failed.","Notice"
"5403","Device-Administration","Session Authorization failed","Session Authorization failed.","Notice"
"5404","Device-Administration","Authorization failed","Authorization failed.","Notice"
"5405","Failed-Attempt","RADIUS Request dropped","RADIUS Request dropped.","Notice"
"5406","Failed-Attempt","TACACS+ Request dropped","TACACS+ Request dropped.","Notice"
"5407","Failed-Attempt","TACACS+ Authorization failed","TACACS+ Authorization failed.","Notice"
"5408","Failed-Attempt","Command Authorization encountered an error","Command Authorization encountered an error. See FailureReason for more information.","Notice"
"5409","Failed-Attempt","Session Authorization encountered an error","Session Authorization encountered an error. See FailureReason for more information.","Notice"
"5410","Failed-Attempt","TACACS+ Authorization encountered an error","TACACS+ Authorization encountered an error.","Notice"
"5411","Failed-Attempt","No response received during 120 seconds on last EAP message sent to the client","ISE sent last message to the client 120 seconds ago but client still has not responded.","Notice"
"5412","Failed-Attempt","TACACS+ authentication request ended with error","TACACS+ authentication request ended with error.","Notice"
